ref_date,GEO,DGUID,New.housing.price.indexes,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS,full_date,yr
1981-01,"Quabec, Quebec",2011S0503421,House only,"Index, 201612=100",347,units,0,v111955476,12.2,34.9,,NA,NA,1,01-01-81,1981
1981-02,"Quabec, Quebec",2011S0503421,House only,"Index, 201612=100",347,units,0,v111955476,12.2,35.4,,NA,NA,1,01-02-81,1981
1981-03,"Quabec, Quebec",2011S0503421,House only,"Index, 201612=100",347,units,0,v111955476,12.2,35.4,,NA,NA,1,01-03-81,1981
1981-04,"Quabec, Quebec",2011S0503421,House only,"Index, 201612=100",347,units,0,v111955476,12.2,35.7,,NA,NA,1,01-04-81,1981
1981-05,"Quabec, Quebec",2011S0503421,House only,"Index, 201612=100",347,units,0,v111955476,12.2,36.1,,NA,NA,1,01-05-81,1981
1981-06,"Quabec, Quebec",2011S0503421,House only,"Index, 201612=100",347,units,0,v111955476,12.2,36.1,,NA,NA,1,01-06-81,1981
1981-07,"Quabec, Quebec",2011S0503421,House only,"Index, 201612=100",347,units,0,v111955476,12.2,36.2,,NA,NA,1,01-07-81,1981
1981-08,"Quabec, Quebec",2011S0503421,House only,"Index, 201612=100",347,units,0,v111955476,12.2,36.6,,NA,NA,1,01-08-81,1981
1981-09,"Quabec, Quebec",2011S0503421,House only,"Index, 201612=100",347,units,0,v111955476,12.2,36.6,,NA,NA,1,01-09-81,1981
1981-10,"Quabec, Quebec",2011S0503421,House only,"Index, 201612=100",347,units,0,v111955476,12.2,36.6,,NA,NA,1,01-10-81,1981
1981-11,"Quabec, Quebec",2011S0503421,House only,"Index, 201612=100",347,units,0,v111955476,12.2,36.8,,NA,NA,1,01-11-81,1981
1981-12,"Quabec, Quebec",2011S0503421,House only,"Index, 201612=100",347,units,0,v111955476,12.2,36.8,,NA,NA,1,01-12-81,1981
1982-01,"Quabec, Quebec",2011S0503421,House only,"Index, 201612=100",347,units,0,v111955476,12.2,37.3,,NA,NA,1,01-01-82,1982
1982-02,"Quabec, Quebec",2011S0503421,House only,"Index, 201612=100",347,units,0,v111955476,12.2,37.8,,NA,NA,1,01-02-82,1982
1982-03,"Quabec, Quebec",2011S0503421,House only,"Index, 201612=100",347,units,0,v111955476,12.2,37.8,,NA,NA,1,01-03-82,1982
1982-04,"Quabec, Quebec",2011S0503421,House only,"Index, 201612=100",347,units,0,v111955476,12.2,37.9,,NA,NA,1,01-04-82,1982
